prior disorder,later disorder,tso,Failure,StdErr,newf,newf_low,newf_high,model
MDE,Bipolar disorder,1,0,0.9632,3.684694777,3.625919067,3.743470486,below 20
MDE,Bipolar disorder,2,0,0.9504,5.003701239,4.934638065,5.072764413,below 20
MDE,Bipolar disorder,3,0,0.9426,5.833679544,5.758595198,5.90876389,below 20
MDE,Bipolar disorder,4,0,0.9353,6.601841119,6.521375336,6.682306902,below 20
MDE,Bipolar disorder,5,0,0.9289,7.287942854,7.202725366,7.373160343,below 20
MDE,Bipolar disorder,6,0,0.9225,7.974920997,7.884979367,8.064862627,below 20
MDE,Bipolar disorder,7,0,0.9166,8.61370634,8.519337356,8.708075325,below 20
MDE,Bipolar disorder,8,0,0.9131,8.999444565,8.90235649,9.096532641,below 20
MDE,Bipolar disorder,9,0,0.9084,9.508887951,9.408140014,9.609635889,below 20
MDE,Bipolar disorder,10,0,0.9043,9.963066275,9.858994497,10.06713805,below 20
MDE,Bipolar disorder,11,0,0.9026,10.15370177,10.04819739,10.25920615,below 20
MDE,Bipolar disorder,12,0,0.8984,10.62318331,10.51405299,10.73231363,below 20
MDE,Bipolar disorder,13,0,0.8957,10.91985971,10.8083751,11.03134433,below 20
MDE,Bipolar disorder,14,0,0.8902,11.53190975,11.41549948,11.64832001,below 20
MDE,Bipolar disorder,15,0,0.8866,11.94219861,11.82243683,12.06196039,below 20
MDE,Bipolar disorder,16,0,0.8829,12.35657353,12.23332725,12.47981982,below 20
MDE,Bipolar disorder,17,0,0.8763,13.09897404,12.96939295,13.22855512,below 20
MDE,Bipolar disorder,18,0,0.8739,13.37529757,13.2433049,13.50729023,below 20
MDE,Bipolar disorder,19,0,0.871,13.70533057,13.57038035,13.84028079,below 20
MDE,Bipolar disorder,20,0,0.8696,13.86522739,13.72878784,14.00166694,below 20
MDE,Bipolar disorder,21,0,0.8674,14.12414149,13.98518815,14.26309482,below 20
MDE,Bipolar disorder,22,0,0.8665,14.22091426,14.08098364,14.36084488,below 20
MDE,Bipolar disorder,23,0,0.8645,14.45572205,14.31336323,14.59808086,below 20
MDE,Bipolar disorder,24,0,0.8626,14.67513298,14.53037961,14.81988635,below 20
MDE,Bipolar disorder,25,0,0.8588,15.1162081,14.96649754,15.26591866,below 20
MDE,Bipolar disorder,26,0,0.8564,15.39322912,15.24029308,15.54616516,below 20
MDE,Bipolar disorder,27,0,0.8554,15.50787459,15.35354593,15.66220324,below 20
MDE,Bipolar disorder,28,0,0.8537,15.71250952,15.55555753,15.86946151,below 20
MDE,Bipolar disorder,29,0,0.8512,16.00050665,15.8396535,16.1613598,below 20
MDE,Bipolar disorder,30,0,0.8464,16.57372685,16.40488085,16.74257286,below 20
MDE,Bipolar disorder,31,0,0.8453,16.6954593,16.524848,16.8660706,below 20
MDE,Bipolar disorder,32,0,0.8446,16.78531757,16.61333443,16.95730071,below 20
MDE,Bipolar disorder,33,0,0.8434,16.92834808,16.75407232,17.10262385,below 20
MDE,Bipolar disorder,34,0,0.8406,17.25880175,17.07888602,17.43871747,below 20
MDE,Bipolar disorder,35,0,0.838,17.56647359,17.38117555,17.75177162,below 20
MDE,Bipolar disorder,36,0,0.8372,17.66224518,17.4751618,17.84932856,below 20
MDE,Bipolar disorder,37,0,0.8337,18.07713512,17.88204125,18.27222899,below 20
MDE,Bipolar disorder,39,0,0.8326,18.21384052,18.01570377,18.41197727,below 20
MDE,Bipolar disorder,40,0,0.8273,18.85195593,18.63878689,19.06512498,below 20
MDE,Bipolar disorder,42,0,0.8263,18.9659277,18.74977834,19.18207707,below 20
MDE,Bipolar disorder,44,0,0.8248,19.15196442,18.93008797,19.37384087,below 20
MDE,Bipolar disorder,45,0,0.8209,19.6159744,19.37895179,19.85299702,below 20
MDE,Bipolar disorder,49,0,0.8145,20.39930596,20.13057682,20.6680351,below 20
MDE,Bipolar disorder,58,0,0.8072,21.30084139,20.95298849,21.64869429,below 20
MDE,Bipolar disorder,1,0,0.9744,2.55703762,2.515128361,2.598946879,20to40
MDE,Bipolar disorder,2,0,0.9691,3.101383664,3.054809875,3.147957454,20to40
MDE,Bipolar disorder,3,0,0.9657,3.454264803,3.404631116,3.50389849,20to40
MDE,Bipolar disorder,4,0,0.9644,3.587116539,3.536296622,3.637936456,20to40
MDE,Bipolar disorder,5,0,0.9613,3.907902351,3.854113863,3.961690839,20to40
MDE,Bipolar disorder,6,0,0.9586,4.193846047,4.137337596,4.250354499,20to40
MDE,Bipolar disorder,7,0,0.9565,4.411508012,4.352872176,4.470143848,20to40
MDE,Bipolar disorder,8,0,0.9547,4.598037554,4.537507055,4.658568054,20to40
MDE,Bipolar disorder,9,0,0.9537,4.699728805,4.638117744,4.761339866,20to40
MDE,Bipolar disorder,10,0,0.9516,4.918903909,4.854865246,4.982942573,20to40
MDE,Bipolar disorder,11,0,0.9505,5.038355444,4.972937561,5.103773327,20to40
MDE,Bipolar disorder,12,0,0.9498,5.115756444,5.049394533,5.182118354,20to40
MDE,Bipolar disorder,13,0,0.9483,5.267847358,5.199538979,5.336155736,20to40
MDE,Bipolar disorder,14,0,0.9472,5.384265729,5.314393872,5.454137587,20to40
MDE,Bipolar disorder,15,0,0.944,5.727840053,5.65319223,5.802487876,20to40
MDE,Bipolar disorder,16,0,0.9396,6.195336063,6.114164935,6.27650719,20to40
MDE,Bipolar disorder,17,0,0.9384,6.321485029,6.238506015,6.404464042,20to40
MDE,Bipolar disorder,19,0,0.9377,6.388226164,6.304168789,6.47228354,20to40
MDE,Bipolar disorder,21,0,0.9343,6.75270432,6.662067435,6.843341206,20to40
MDE,Bipolar disorder,22,0,0.9327,6.925053781,6.831228134,7.018879429,20to40
MDE,Bipolar disorder,24,0,0.9319,7.008229826,6.91260564,7.103854013,20to40
MDE,Bipolar disorder,25,0,0.9318,7.023335391,6.927359283,7.1193115,20to40
MDE,Bipolar disorder,27,0,0.931,7.106456304,7.008202657,7.204709951,20to40
MDE,Bipolar disorder,28,0,0.9294,7.276508838,7.173331021,7.379686655,20to40
MDE,Bipolar disorder,45,0,0.9276,7.47503971,7.340071564,7.610007856,20to40
MDE,Bipolar disorder,1,0,0.984,1.596185134,1.545672498,1.64669777,above40
MDE,Bipolar disorder,2,0,0.9834,1.658900573,1.607291936,1.710509211,above40
MDE,Bipolar disorder,3,0,0.9813,1.870506293,1.81497228,1.926040307,above40
MDE,Bipolar disorder,4,0,0.9799,2.018960434,1.96049108,2.077429788,above40
MDE,Bipolar disorder,5,0,0.979,2.110585512,2.050191848,2.170979176,above40
MDE,Bipolar disorder,7,0,0.9782,2.195384659,2.132850784,2.257918535,above40
MDE,Bipolar disorder,8,0,0.9778,2.228032686,2.164595881,2.291469492,above40
MDE,Bipolar disorder,9,0,0.9766,2.350510349,2.283453801,2.417566897,above40
MDE,Bipolar disorder,11,0,0.9761,2.405823641,2.336759031,2.474888251,above40
MDE,Bipolar disorder,12,0,0.9747,2.546611472,2.472080122,2.621142822,above40
MDE,Dysthymia,1,0,0.8926,10.73953733,10.64295259,10.83612208,below 20
MDE,Dysthymia,2,0,0.8869,11.37892619,11.27908333,11.47876904,below 20
MDE,Dysthymia,3,0,0.882,11.93322205,11.83050733,12.03593678,below 20
MDE,Dysthymia,4,0,0.8778,12.41259829,12.30735073,12.51784585,below 20
MDE,Dysthymia,5,0,0.8723,13.03038947,12.92178919,13.13898975,below 20
MDE,Dysthymia,6,0,0.8659,13.76884077,13.65613906,13.88154247,below 20
MDE,Dysthymia,7,0,0.861,14.32882081,14.21290421,14.44473742,below 20
MDE,Dysthymia,8,0,0.8553,14.99402701,14.87417267,15.11388134,below 20
MDE,Dysthymia,9,0,0.8494,15.68365824,15.55961433,15.80770215,below 20
MDE,Dysthymia,10,0,0.8469,15.98201362,15.85610073,16.1079265,below 20
MDE,Dysthymia,11,0,0.8417,16.59873368,16.46884858,16.72861877,below 20
MDE,Dysthymia,12,0,0.8378,17.05652295,16.92358078,17.18946511,below 20
MDE,Dysthymia,13,0,0.8322,17.72395812,17.58642447,17.86149176,below 20
MDE,Dysthymia,14,0,0.8267,18.38228731,18.24012484,18.52444978,below 20
MDE,Dysthymia,15,0,0.8228,18.86243645,18.71680068,19.00807222,below 20
MDE,Dysthymia,16,0,0.8208,19.10487594,18.95742317,19.25232871,below 20
MDE,Dysthymia,17,0,0.8176,19.49558376,19.34507956,19.64608796,below 20
MDE,Dysthymia,18,0,0.8142,19.90105668,19.74727343,20.05483993,below 20
MDE,Dysthymia,19,0,0.8106,20.34525847,20.18777982,20.50273711,below 20
MDE,Dysthymia,20,0,0.806,20.91102225,20.74868285,21.07336164,below 20
MDE,Dysthymia,21,0,0.8013,21.49944934,21.33191374,21.66698494,below 20
MDE,Dysthymia,22,0,0.7959,22.17523335,22.00159777,22.34886892,below 20
MDE,Dysthymia,23,0,0.7907,22.83122102,22.65160873,23.0108333,below 20
MDE,Dysthymia,24,0,0.7848,23.57033607,23.38369315,23.756979,below 20
MDE,Dysthymia,25,0,0.7796,24.24052702,24.04735685,24.43369719,below 20
MDE,Dysthymia,26,0,0.7769,24.58691658,24.39024824,24.78358491,below 20
MDE,Dysthymia,27,0,0.7734,25.03622244,24.83482537,25.23761951,below 20
MDE,Dysthymia,28,0,0.7672,25.83408531,25.62384753,26.04432309,below 20
MDE,Dysthymia,29,0,0.7609,26.65620692,26.43654676,26.87586709,below 20
