prior disorder,later disorder,tso,failure,stderr,newf,newf_low,newf_high,model
AGO,MDE,1,0.0817,0.000652,8.173979103,8.040554142,8.307404064,All
AGO,MDE,2,0.1078,0.00074,11.01385372,10.85692071,11.17078673,All
AGO,MDE,3,0.1325,0.000811,13.77576783,13.59809159,13.95344406,All
AGO,MDE,4,0.1533,0.000865,16.17965708,15.98488285,16.37443131,All
AGO,MDE,5,0.1669,0.000898,17.78050148,17.5744803,17.98652267,All
AGO,MDE,6,0.1783,0.000925,19.15325675,18.93770085,19.36881265,All
AGO,MDE,7,0.1884,0.000949,20.38296303,20.15889301,20.60703305,All
AGO,MDE,8,0.2074,0.000992,22.72369323,22.48358875,22.9637977,All
AGO,MDE,9,0.2224,0.00102,24.62079539,24.36772985,24.87386092,All
AGO,MDE,10,0.2397,0.00106,26.8402684,26.5721005,27.1084363,All
AGO,MDE,11,0.2539,0.00109,28.7091744,28.42836848,28.98998033,All
AGO,MDE,12,0.2625,0.00111,29.86688249,29.57802808,30.15573691,All
AGO,MDE,13,0.2782,0.00114,31.99357737,31.68983962,32.29731512,All
AGO,MDE,14,0.2963,0.00117,34.5023696,34.18097056,34.82376864,All
AGO,MDE,15,0.3028,0.00119,35.42439342,35.09635144,35.75243541,All
AGO,MDE,16,0.3096,0.0012,36.39965538,36.06442169,36.73488908,All
AGO,MDE,17,0.315,0.00121,37.17294797,36.83182788,37.51406807,All
AGO,MDE,18,0.3252,0.00123,38.66373808,38.31097712,39.01649904,All
AGO,MDE,19,0.331,0.00125,39.51973614,39.15997067,39.8795016,All
AGO,MDE,20,0.3375,0.00126,40.50090404,40.13294189,40.86886619,All
AGO,MDE,21,0.3476,0.00129,42.02791397,41.64690922,42.40891871,All
AGO,MDE,22,0.3543,0.0013,43.04667977,42.6566968,43.43666275,All
AGO,MDE,23,0.3626,0.00132,44.33943697,43.93773507,44.74113887,All
AGO,MDE,24,0.3648,0.00133,44.68786224,44.28293035,45.09279414,All
AGO,MDE,25,0.3821,0.00137,47.40878492,46.97844267,47.83912717,All
AGO,MDE,26,0.3943,0.00141,49.3727568,48.92356961,49.82194399,All
AGO,MDE,27,0.409,0.00144,51.80573299,51.33283301,52.27863296,All
AGO,MDE,28,0.416,0.00146,52.98182168,52.49714034,53.46650302,All
AGO,MDE,29,0.4203,0.00147,53.72186998,53.229632,54.21410796,All
AGO,MDE,30,0.429,0.0015,55.23362182,54.72510746,55.74213617,All
AGO,MDE,31,0.432,0.00151,55.75058566,55.236062,56.26510932,All
AGO,MDE,32,0.4374,0.00153,56.70662083,56.18080921,57.23243245,All
AGO,MDE,33,0.4508,0.00157,59.0761629,58.52229273,59.63003307,All
