Prior disorder,Later disorder,Sex,Model,HR,Lower,Upper
MDE,Bipolar disorder,All,A,20.4,18.4,22.7
MDE,Dysthymia,All,A,60.5,55.1,66.4
MDE,Panic disorder,All,A,17.9,16.2,19.7
MDE,GAD,All,A,23.5,22.2,24.8
MDE,Social phobia,All,A,15.9,14.9,17
MDE,Specific phobia,All,A,12.4,11.8,13
MDE,Agoraphobia,All,A,16.8,15.1,18.6
MDE,PTSD,All,A,19.1,17.7,20.5
MDE,OCD,All,A,12.7,10.6,15.3
MDE,Adult SAD,All,A,15,13.4,16.8
MDE,Child SAD,All,A,13.6,11.8,15.8
MDE,Anorexia nervosa,All,A,,,
MDE,Bulimia nervosa,All,A,12.3,9.7,15.5
MDE,Binge eating disorder,All,A,10.2,9.1,11.6
MDE,IED,All,A,12.9,11.6,14.3
MDE,ADHD,All,A,,,
MDE,Conduct disorder,All,A,12.1,10.1,14.4
MDE,ODD,All,A,11.6,10.1,13.5
MDE,Nicotine dependence,All,A,8.1,7.5,8.7
MDE,Alcohol abuse,All,A,8.8,8.3,9.3
MDE,Alcohol dependence,All,A,15.8,14.4,17.4
MDE,Drug abuse,All,A,11,10.1,12
MDE,Drug dependence,All,A,16.6,14.5,19
MDE,Bipolar disorder,All,B,10.7,9.1,12.6
MDE,Dysthymia,All,B,45.9,40.5,51.9
MDE,Panic disorder,All,B,9.6,8.3,11
MDE,GAD,All,B,15,13.8,16.3
MDE,Social phobia,All,B,8.6,7.8,9.5
MDE,Specific phobia,All,B,8.2,7.6,8.7
MDE,Agoraphobia,All,B,6.7,5.8,7.7
MDE,PTSD,All,B,12.6,11.3,14
MDE,OCD,All,B,6.4,4.9,8.3
MDE,Adult SAD,All,B,6,5,7.2
MDE,Child SAD,All,B,5.6,4.3,7.1
MDE,Anorexia nervosa,All,B,,,
MDE,Bulimia nervosa,All,B,4,3.1,5.1
MDE,Binge eating disorder,All,B,5.1,4.3,5.9
MDE,IED,All,B,7.3,6.2,8.5
MDE,ADHD,All,B,,,
MDE,Conduct disorder,All,B,3.5,2.7,4.4
MDE,ODD,All,B,3.8,3.1,4.6
MDE,Nicotine dependence,All,B,4.9,4.4,5.5
MDE,Alcohol abuse,All,B,5.3,4.9,5.7
MDE,Alcohol dependence,All,B,7.1,6,8.3
MDE,Drug abuse,All,B,5.7,5,6.4
MDE,Drug dependence,All,B,6.7,5.2,8.5
MDE,Bipolar disorder,F,A,17.5,14.9,20.5
MDE,Dysthymia,F,A,87.5,75.6,101.5
MDE,Panic disorder,F,A,27.1,22.6,32.6
MDE,GAD,F,A,36.4,32.8,40.5
MDE,Social phobia,F,A,20.6,18.7,22.7
MDE,Specific phobia,F,A,23.4,21.4,25.5
MDE,Agoraphobia,F,A,30.8,25.6,37
MDE,PTSD,F,A,37.3,32.9,42.4
MDE,OCD,F,A,,,
