Prior disorder,Later disorder,Model,Time,HR,Lower,Upper
MDE,Bipolar disorder,A,1,59.9,55.1,65.2
MDE,Bipolar disorder,A,2,30.9,28.3,33.8
MDE,Bipolar disorder,A,3,14.7,13.3,16.2
MDE,Bipolar disorder,A,4,10.2,9,11.5
MDE,Bipolar disorder,A,5,11,9.3,13
MDE,Bipolar disorder,A,6,13.5,9.8,18.5
MDE,Dysthymia,A,1,165.4,153,178.7
MDE,Dysthymia,A,2,87.7,81,95
MDE,Dysthymia,A,3,44.4,40.8,48.4
MDE,Dysthymia,A,4,33.5,30.2,37.2
MDE,Dysthymia,A,5,33.9,29.6,38.8
MDE,Dysthymia,A,6,35.6,30.1,41.9
MDE,Panic disorder,A,1,60.8,56.3,65.7
MDE,Panic disorder,A,2,31.9,29.4,34.5
MDE,Panic disorder,A,3,14.7,13.5,16.1
MDE,Panic disorder,A,4,9.2,8.2,10.2
MDE,Panic disorder,A,5,8.2,7.1,9.6
MDE,Panic disorder,A,6,8.1,6.4,10.2
MDE,GAD,A,1,86.4,82.2,90.8
MDE,GAD,A,2,43.6,41.5,45.8
MDE,GAD,A,3,19.3,18.3,20.4
MDE,GAD,A,4,12,11.3,12.8
MDE,GAD,A,5,10.3,9.4,11.3
MDE,GAD,A,6,9.3,8.1,10.8
MDE,Social phobia,A,1,53.4,50.7,56.3
MDE,Social phobia,A,2,26.8,25.4,28.3
MDE,Social phobia,A,3,12.1,11.4,12.9
MDE,Social phobia,A,4,8.2,7.6,8.8
MDE,Social phobia,A,5,7.7,7,8.5
MDE,Social phobia,A,6,8.4,7.1,9.9
MDE,Specific phobia,A,1,47.9,45.6,50.2
MDE,Specific phobia,A,2,23.4,22.3,24.5
MDE,Specific phobia,A,3,10.3,9.8,10.9
MDE,Specific phobia,A,4,6.3,5.9,6.6
MDE,Specific phobia,A,5,,,
MDE,Specific phobia,A,6,,,
MDE,Agoraphobia,A,1,53.5,49.3,58.1
MDE,Agoraphobia,A,2,,,
MDE,Agoraphobia,A,3,13,11.9,14.3
MDE,Agoraphobia,A,4,8.9,8,10
MDE,Agoraphobia,A,5,7.7,6.5,9
MDE,Agoraphobia,A,6,8.3,6.3,10.9
MDE,PTSD,A,1,69.2,64.9,73.8
MDE,PTSD,A,2,34.7,32.5,37
MDE,PTSD,A,3,15.5,14.4,16.6
MDE,PTSD,A,4,9.7,8.9,10.5
MDE,PTSD,A,5,8.7,7.7,9.7
MDE,PTSD,A,6,7.7,6.5,9.2
MDE,OCD,A,1,,,
MDE,OCD,A,2,,,
MDE,OCD,A,3,,,
MDE,OCD,A,4,,,
MDE,OCD,A,5,,,
MDE,OCD,A,6,,,
MDE,Adult SAD,A,1,48.1,43.9,52.7
MDE,Adult SAD,A,2,,,
MDE,Adult SAD,A,3,11.4,10.3,12.7
MDE,Adult SAD,A,4,7.3,6.4,8.4
MDE,Adult SAD,A,5,6.9,5.7,8.4
MDE,Adult SAD,A,6,8.1,5.8,11.1
MDE,Child SAD,A,1,,,
MDE,Child SAD,A,2,,,
MDE,Child SAD,A,3,,,
MDE,Child SAD,A,4,,,
MDE,Child SAD,A,5,,,
MDE,Child SAD,A,6,,,
MDE,Anorexia nervosa,A,1,,,
MDE,Anorexia nervosa,A,2,,,
MDE,Anorexia nervosa,A,3,,,
MDE,Anorexia nervosa,A,4,,,
MDE,Anorexia nervosa,A,5,,,
MDE,Anorexia nervosa,A,6,,,
MDE,Bulimia nervosa,A,1,,,
MDE,Bulimia nervosa,A,2,,,
MDE,Bulimia nervosa,A,3,,,
MDE,Bulimia nervosa,A,4,,,
MDE,Bulimia nervosa,A,5,,,
MDE,Bulimia nervosa,A,6,,,
MDE,Binge eating disorder,A,1,33.7,30.3,37.5
MDE,Binge eating disorder,A,2,17.1,15.3,19
MDE,Binge eating disorder,A,3,7.9,7,8.9
MDE,Binge eating disorder,A,4,5,4.3,5.8
MDE,Binge eating disorder,A,5,4.4,3.5,5.5
MDE,Binge eating disorder,A,6,5.2,3.5,7.9
MDE,IED,A,1,42.7,39.1,46.7
MDE,IED,A,2,21.9,19.9,24.1
MDE,IED,A,3,9.7,8.8,10.8
MDE,IED,A,4,6,5.3,6.9
MDE,IED,A,5,5.6,4.6,6.8
MDE,IED,A,6,,,
MDE,ADHD,A,1,,,
MDE,ADHD,A,2,,,
MDE,ADHD,A,3,,,
MDE,ADHD,A,4,,,
MDE,ADHD,A,5,,,
MDE,ADHD,A,6,,,
MDE,Conduct disorder,A,1,,,
MDE,Conduct disorder,A,2,,,
MDE,Conduct disorder,A,3,,,
MDE,Conduct disorder,A,4,,,
MDE,Conduct disorder,A,5,,,
MDE,Conduct disorder,A,6,,,
MDE,ODD,A,1,,,
MDE,ODD,A,2,,,
MDE,ODD,A,3,,,
MDE,ODD,A,4,,,
MDE,ODD,A,5,,,
MDE,ODD,A,6,,,
MDE,Nicotine dependence,A,1,38.8,35.8,42
MDE,Nicotine dependence,A,2,18.4,17,19.8
MDE,Nicotine dependence,A,3,7.6,7.1,8.3
MDE,Nicotine dependence,A,4,3.9,3.6,4.3
MDE,Nicotine dependence,A,5,3.1,2.8,3.5
MDE,Nicotine dependence,A,6,2.3,1.9,2.9
MDE,Alcohol abuse,A,1,36.8,34.9,38.9
MDE,Alcohol abuse,A,2,17.5,16.5,18.5
MDE,Alcohol abuse,A,3,7.4,6.9,7.8
MDE,Alcohol abuse,A,4,4.4,4.1,4.7
MDE,Alcohol abuse,A,5,3.5,3.2,3.8
MDE,Alcohol abuse,A,6,2.8,2.4,3.4
MDE,Alcohol dependence,A,1,53.5,49.1,58.2
MDE,Alcohol dependence,A,2,26.8,24.6,29.3
MDE,Alcohol dependence,A,3,12.3,11.2,13.5
MDE,Alcohol dependence,A,4,8.3,7.4,9.3
MDE,Alcohol dependence,A,5,8.1,6.9,9.5
MDE,Alcohol dependence,A,6,6.9,5.3,8.9
MDE,Drug abuse,A,1,36.5,33.9,39.3
MDE,Drug abuse,A,2,18.2,16.9,19.6
MDE,Drug abuse,A,3,8.1,7.5,8.9
MDE,Drug abuse,A,4,5.3,4.8,5.9
MDE,Drug abuse,A,5,5.1,4.4,6
MDE,Drug abuse,A,6,4.8,3.5,6.6
MDE,Drug dependence,A,1,,,
MDE,Drug dependence,A,2,24.1,21.5,27
MDE,Drug dependence,A,3,11.9,10.4,13.5
MDE,Drug dependence,A,4,8.5,7.2,10.1
MDE,Drug dependence,A,5,9.9,7.8,12.5
MDE,Drug dependence,A,6,,,
MDE,Bipolar disorder,B,1,30.6,26.4,35.4
MDE,Bipolar disorder,B,2,15.6,13.4,18.2
MDE,Bipolar disorder,B,3,7.5,6.4,8.8
MDE,Bipolar disorder,B,4,5.4,4.5,6.5
MDE,Bipolar disorder,B,5,6,4.8,7.5
MDE,Bipolar disorder,B,6,8,5.6,11.5
MDE,Dysthymia,B,1,124.3,111.1,139
MDE,Dysthymia,B,2,65.8,58.6,73.8
MDE,Dysthymia,B,3,33.6,29.9,37.8
MDE,Dysthymia,B,4,25.7,22.5,29.3
MDE,Dysthymia,B,5,26,22.1,30.5
MDE,Dysthymia,B,6,29.2,24.5,34.9
MDE,Panic disorder,B,1,32.8,28.8,37.4
MDE,Panic disorder,B,2,16.9,14.7,19.3
MDE,Panic disorder,B,3,7.8,6.8,9
MDE,Panic disorder,B,4,4.9,4.2,5.7
MDE,Panic disorder,B,5,4.3,3.5,5.2
MDE,Panic disorder,B,6,4.6,3.5,6.1
MDE,GAD,B,1,55.1,51,59.6
MDE,GAD,B,2,27.4,25.3,29.7
MDE,GAD,B,3,12.3,11.3,13.4
MDE,GAD,B,4,7.7,7.1,8.5
MDE,GAD,B,5,6.6,5.8,7.4
MDE,GAD,B,6,6.6,5.7,7.7
MDE,Social phobia,B,1,29.4,27,32
MDE,Social phobia,B,2,14.2,13,15.6
MDE,Social phobia,B,3,6.4,5.8,7
MDE,Social phobia,B,4,4.3,3.9,4.8
MDE,Social phobia,B,5,4,3.5,4.6
MDE,Social phobia,B,6,4.9,4,6.1
MDE,Specific phobia,B,1,32.7,30.7,35
MDE,Specific phobia,B,2,15.6,14.5,16.6
MDE,Specific phobia,B,3,6.8,6.4,7.3
MDE,Specific phobia,B,4,4.1,3.8,4.4
MDE,Specific phobia,B,5,,,
MDE,Specific phobia,B,6,,,
MDE,Agoraphobia,B,1,21.9,19.2,24.9
MDE,Agoraphobia,B,2,,,
MDE,Agoraphobia,B,3,5.1,4.4,5.9
MDE,Agoraphobia,B,4,3.5,3,4.1
MDE,Agoraphobia,B,5,2.8,2.3,3.4
MDE,Agoraphobia,B,6,3.5,2.7,4.7
MDE,PTSD,B,1,45.3,41,50
MDE,PTSD,B,2,22.5,20.3,24.9
MDE,PTSD,B,3,10.1,9.1,11.2
MDE,PTSD,B,4,6.4,5.7,7.2
MDE,PTSD,B,5,5.9,5.1,6.8
MDE,PTSD,B,6,5.7,4.7,6.9
MDE,OCD,B,1,,,
MDE,OCD,B,2,,,
MDE,OCD,B,3,,,
MDE,OCD,B,4,,,
MDE,OCD,B,5,,,
MDE,OCD,B,6,,,
MDE,Adult SAD,B,1,20.1,17.2,23.6
MDE,Adult SAD,B,2,,,
MDE,Adult SAD,B,3,4.4,3.7,5.3
MDE,Adult SAD,B,4,2.8,2.3,3.4
MDE,Adult SAD,B,5,2.6,2,3.3
